model,split,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
weighted_ensemble_xgb_base,train,0.7723214285714286,0.5434969853574505,0.8544346648612051,0.6643853645696236,0.8825966131832081,3063,1060,215,1262
weighted_ensemble_blend_90_10,train,0.7751785714285714,0.5470639032815199,0.8578199052132701,0.6680727656208806,0.8846665936468489,3074,1049,210,1267
weighted_ensemble_xgb_base,test,0.7558886509635975,0.5241502683363148,0.7940379403794038,0.6314655172413793,0.8566351022037351,766,266,76,293
weighted_ensemble_blend_90_10,test,0.7566024268379729,0.525089605734767,0.7940379403794038,0.6321467098166127,0.857587025482658,767,265,76,293
weighted_xgb_only_base,train,0.7755357142857143,0.5471293916023993,0.8645903859174001,0.6701653109420099,0.8854617104930628,3066,1057,200,1277
weighted_xgb_only_base,test,0.7630264097073519,0.533213644524237,0.8048780487804879,0.6414686825053996,0.855494107266654,772,260,72,297
