model,split,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
ensemble_run_xgb_base,train,0.7830357142857143,0.5566608996539792,0.8713608666215301,0.6793349168646081,0.8913484817160072,3098,1025,190,1287
ensemble_run_xgb_base,test,0.761598857958601,0.5311942959001783,0.8075880758807588,0.6408602150537634,0.8593319993277452,769,263,71,298
ensemble_run_stacking,train,0.8535714285714285,0.7424354243542436,0.6811103588354773,0.71045197740113,0.9187705706925708,3774,349,471,1006
ensemble_run_stacking,test,0.801570306923626,0.6374622356495468,0.5718157181571816,0.6028571428571429,0.859186256591248,912,120,158,211
xgb_only_run_xgb_base,train,0.7714285714285715,0.5419327373350362,0.8618821936357481,0.665446941975954,0.8824239437565675,3047,1076,204,1273
xgb_only_run_xgb_base,test,0.7601713062098501,0.5292035398230088,0.8102981029810298,0.6402569593147751,0.8591928215793786,766,266,70,299
