model,split,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
opt_ensemble_xgb_base,train,0.7644642857142857,0.5342287694974004,0.8348002708192281,0.6515191545574637,0.8706850501447452,3048,1075,244,1233
opt_ensemble_xgb_base,test,0.7587437544610992,0.527927927927928,0.7940379403794038,0.6341991341991342,0.8557186298607172,770,262,76,293
opt_ensemble_stacking,train,0.7817857142857143,0.5568942436412316,0.8449559918754231,0.6713286713286714,0.8869304269475312,3130,993,229,1248
opt_ensemble_stacking,test,0.7701641684511064,0.5437616387337058,0.7913279132791328,0.6445916114790287,0.8588763891514885,787,245,77,292
opt_xgb_only_base,train,0.765,0.5346236559139785,0.8415707515233581,0.6538663861125723,0.8750042489980165,3041,1082,234,1243
opt_xgb_only_base,test,0.7594575303354747,0.5287769784172662,0.7967479674796748,0.6356756756756756,0.8563107917900884,770,262,75,294
